"","Item","Prop","Value"
"1","Q88942931","P1153","55601547800"
"2","Q110157864","P1153","57193573500"
"3","Q110157866","P496","""0000-0002-1939-7242"""
"4","Q110157866","P1153","57192199859"
"5","Q110157867","P1153","57194787299"
"6","Q110157868","P1153","57219670699"
"7","Q110157869","P1153","57000386200"
"8","Q64684743","P496","""0000-0002-8743-3639"""
"9","Q64684743","P1153","56699639900"
"10","Q110157870","P1153","35301786200"
"11","Q110157871","P1153","57194025033"
"12","Q110157872","P1153","57044125600"
"13","Q110157873","P1153","56653161000"
"14","Q64454665","P1153","7201924951"
"15","Q6193358","P1153","55477883800"
"16","Q110157875","P496","""0000-0002-8183-7149"""
"17","Q109929713","P496","""0000-0002-7902-0455"""
"18","Q90305318","P1153","55205979800"
"19","Q37834331","P496","""0000-0002-0640-4634"""
"20","Q37834331","P1153","12793274600"
"21","Q37834331","P1053","""F-6851-2012"""
"22","Q110157876","P1153","35868032900"
"23","Q110157877","P496","""0000-0002-6210-6957"""
"24","Q110157877","P1153","55516625700"
"25","Q110157878","P1153","57212465273"
"26","Q110157879","P1153","57221809284"
"27","Q110157880","P496","""0000-0003-1833-3519"""
"28","Q110157880","P1153","57193135894"
"29","Q110157880","P1053","""AAG-5347-2019"""
"30","Q110157881","P496","""0000-0003-1222-2666"""
"31","Q110157881","P1153","55895255700"
"32","Q103312526","P496","""0000-0002-0748-3530"""
"33","Q103312526","P1153","57208242224"
"34","Q103312526","P1053","""ABC-6734-2020"""
"35","Q110157882","P1153","57193404244"
"36","Q110157883","P1153","55395786100"
"37","Q110157884","P1153","57214677595"
"38","Q85917348","P496","""0000-0002-1813-0634"""
"39","Q85917348","P1153","6603182062"
"40","Q85917348","P1053","""L-3804-2017"""
"41","Q110157885","P496","""0000-0002-1379-065X"""
"42","Q110157885","P1153","56392805800"
"43","Q110157886","P1153","57190140677"
"44","Q110157887","P1153","55996783200"
"45","Q110157889","P1153","57201582881"
"46","Q110157890","P496","""0000-0002-1407-0507"""
"47","Q110157890","P1153","55910490900"
"48","Q1188947","P496","""0000-0001-7823-5326"""
"49","Q1188947","P1153","11240117000"
"50","Q110157891","P496","""0000-0002-5530-9596"""
"51","Q110157892","P496","""0000-0001-6430-9806"""
"52","Q110157892","P1153","57190424564"
"53","Q110157892","P1053","""AAA-8598-2019"""
"54","Q110157893","P1153","37048572200"
"55","Q110157894","P1153","56196263100"
